filename,mse,mae,psnr,ssim,lpips,inference_ms
002947.npy,0.004464620258659124,0.051154665648937225,23.502154933287514,0.6928583350982033,0.3067947030067444,163.06449999683537
002957.npy,0.0029146289452910423,0.03978215157985687,25.35416734776438,0.7020435447798716,0.35993412137031555,138.75959999859333
000013.npy,0.009400572627782822,0.08672585338354111,20.268456690585435,0.8870064212580026,0.19492417573928833,153.9552000031108
001858.npy,0.0033659161999821663,0.04989684373140335,24.72896680515628,0.9071605256109238,0.24871452152729034,142.55670001148246
000647.npy,0.004691258072853088,0.054295994341373444,23.28710659342721,0.6078664812050001,0.31782132387161255,141.96280000032857
001780.npy,0.01065441407263279,0.09937666356563568,19.724704025505623,0.7723687301297187,0.4003267288208008,161.31500000483356
001202.npy,0.002520727925002575,0.036815762519836426,25.984740166263876,0.6667210946373269,0.32412609457969666,167.82250000687782
003198.npy,0.0027997088618576527,0.029590778052806854,25.528871203210745,0.8267701600985918,0.1468999981880188,139.39430000027642
003159.npy,0.0026291338726878166,0.04137292504310608,25.801873008314914,0.43290787674856185,0.6908279061317444,145.01069999823812
002625.npy,0.00469227647408843,0.05552692711353302,23.2861639542749,0.4323647889857963,0.6658639311790466,147.61659999203403
001092.npy,0.004163668490946293,0.04605991393327713,23.805238700251977,0.8088074846571088,0.1634891778230667,155.53539998654742
002199.npy,0.0005039109964855015,0.01527221780270338,32.97646160983562,0.8873965773110389,0.11937866359949112,142.44419999886304
002792.npy,0.004709293134510517,0.062173835933208466,23.27044298088837,0.8273368829418235,0.2227160930633545,139.72639999701641
000469.npy,0.005077276844531298,0.04819159954786301,22.943691460370296,0.6243809762262865,0.3717826306819916,146.27749999635853
002952.npy,0.0031848375219851732,0.03818228840827942,24.969127168768445,0.8071099218838736,0.26158320903778076,152.50430000014603
002786.npy,0.0028996344190090895,0.04233001172542572,25.376567590169167,0.7765733523943126,0.2227948009967804,160.96180000749882
000047.npy,0.00546984001994133,0.05737156793475151,22.620253769797557,0.6853863746394468,0.37123051285743713,139.92469999357127
002266.npy,0.0022969869896769524,0.025003548711538315,26.388414441450912,0.884116904762506,0.1452031135559082,144.82539999880828
001029.npy,0.002796389628201723,0.04677971452474594,25.534023389134948,0.8515120878257751,0.27291953563690186,127.10840000363532
002167.npy,0.00250394269824028,0.04353465139865875,26.013756215186792,0.8289813152318001,0.27389341592788696,140.73780000035185
001917.npy,0.0029660912696272135,0.03823290020227432,25.278154984209262,0.7358662899839878,0.2872158885002136,145.3924000088591
002440.npy,0.002422273624688387,0.039444129914045334,26.157767898614082,0.8158819572957363,0.2158815711736679,134.84719999541994
001563.npy,0.004674317315220833,0.05334863066673279,23.30281778748195,0.8561775309340954,0.13483059406280518,134.86639999609906
001576.npy,0.0030526660848408937,0.04035835340619087,25.15320703224961,0.770960648461386,0.2249148041009903,130.71950001176447
000260.npy,0.003007450606673956,0.03768647834658623,25.21801487870476,0.7368984727724195,0.21042363345623016,142.27729999402072
002442.npy,0.0015428033657371998,0.02980196662247181,28.116894030253867,0.8669756959629059,0.13247032463550568,175.1250999950571
001729.npy,0.012422890402376652,0.08680406212806702,19.05777342895624,0.5952721088473852,0.36280083656311035,166.86499999195803
002787.npy,0.002669448498636484,0.04044070094823837,25.735784804439913,0.769195582619302,0.21396178007125854,142.83149999391753
000655.npy,0.002155284397304058,0.0291561521589756,26.66495420337556,0.7711664007487297,0.2465883493423462,138.97889999498148
002570.npy,0.002940503414720297,0.043256357312202454,25.315782976546632,0.48800018053483174,0.6644362211227417,143.04640000045765
000626.npy,0.07546213269233704,0.22718873620033264,11.222709551957808,0.2524661794260169,0.6405872106552124,144.59310000529513
000449.npy,0.0010097119957208633,0.02349281683564186,29.958024794527006,0.8594044666926861,0.3209775686264038,152.12179999798536
000192.npy,0.0032941452227532864,0.048153337091207504,24.82257287699518,0.9123721104310896,0.1926044374704361,154.27850000560284
000372.npy,0.0021092239767313004,0.03706143796443939,26.758772860967426,0.649016090270996,0.4986867606639862,156.85020000091754
002021.npy,0.0038824041839689016,0.05054580047726631,24.108992476445977,0.6738754297923455,0.3117838203907013,159.7160000092117
002087.npy,0.003043166594579816,0.04301777482032776,25.166742626225865,0.5939963540471196,0.3821730613708496,180.2324000018416
000566.npy,0.007041815668344498,0.06577529013156891,21.523153294163624,0.5043065568856359,0.420123815536499,136.43769999907818
000898.npy,0.0034148264676332474,0.05264231562614441,24.666313840225516,0.9057299846174717,0.1524215042591095,155.112199994619
001482.npy,0.004777770023792982,0.0602157898247242,23.207747448887474,0.7878165665884018,0.2613333761692047,161.8638999934774
001635.npy,0.00525695038959384,0.06887348741292953,22.792661147822585,0.9170325997879505,0.21235349774360657,157.6758000010159
