filename,baseline_mse,baseline_mae,baseline_psnr,baseline_ssim,baseline_lpips,baseline_inference_ms,noise_aware_mse,noise_aware_mae,noise_aware_psnr,noise_aware_ssim,noise_aware_lpips,noise_aware_inference_ms
003198.npy,0.002594815567135811,0.027575992047786713,25.858935143924967,0.8406695649551786,0.13392864167690277,71.96330001170281,0.002546903910115361,0.02722509391605854,25.93987455104348,0.8348404722934514,0.14617076516151428,71.56389999727253
003159.npy,0.0015535762067884207,0.031313661485910416,28.086674611142016,0.43713961986899375,0.6874025464057922,71.00899999204557,0.0014889163430780172,0.030714724212884903,28.271296949585242,0.4354110576181412,0.6940070986747742,70.63699999707751
002625.npy,0.0033326931297779083,0.044751718640327454,24.772046576399838,0.42420645785842603,0.6933472752571106,12.253799999598414,0.0030439882539212704,0.04276524856686592,25.16557035858647,0.43536983918727,0.6674555540084839,11.983499993220903
001092.npy,0.003308946266770363,0.039878472685813904,24.803102652779803,0.8073515813731383,0.16546525061130524,12.245700010680594,0.0031491941772401333,0.038893528282642365,25.018005631927664,0.8167708498625458,0.1573866307735443,12.027700009639375
002199.npy,0.0004516074259299785,0.013846528716385365,33.452389143968404,0.8897208506128043,0.09579023718833923,12.267199999769218,0.00039714359445497394,0.01332978717982769,34.010524184939115,0.8943759703065306,0.11662928014993668,11.988700003712438
002792.npy,0.0011761818313971162,0.024560075253248215,29.295255552249174,0.8159035121785737,0.1923554539680481,12.27350000408478,0.0010288325138390064,0.02317703701555729,29.87655333751941,0.8316095063562393,0.22221407294273376,12.022900002193637
000469.npy,0.004758886527270079,0.04597749933600426,23.22494641097776,0.6301269064647779,0.34627801179885864,22.70709999720566,0.004672392271459103,0.045270197093486786,23.30460689640816,0.6324358975905651,0.3689831495285034,22.426600000471808
002952.npy,0.0025532706640660763,0.0299510695040226,25.929032034971414,0.8050260006228965,0.23451068997383118,24.8410999920452,0.002347191795706749,0.028895370662212372,26.2945142961988,0.8135596045838259,0.25701647996902466,24.50249998946674
002786.npy,0.002670627785846591,0.040622856467962265,25.733866587650688,0.7648116483805366,0.2388111650943756,27.13689999654889,0.002437317743897438,0.038837283849716187,26.130878409026998,0.7864521213762165,0.22237002849578857,27.40799999446608
000047.npy,0.00433716643601656,0.04976782202720642,23.627939056288085,0.6948711691676546,0.33552268147468567,32.24950000003446,0.0040510413236916065,0.048397134989500046,23.924333195884632,0.704738925115753,0.35093873739242554,31.856899993726984
002266.npy,0.002204886870458722,0.022168364375829697,26.566136933544378,0.8841866824404164,0.1239619255065918,74.45439998991787,0.002123023383319378,0.02234307862818241,26.730452038649027,0.886876029392577,0.1446903645992279,74.08289999875706
001029.npy,0.0005933903157711029,0.018109669908881187,32.26659527179707,0.8455500772960484,0.27430516481399536,12.04620000498835,0.0005368284182623029,0.016787292435765266,32.701644826784964,0.8574941885437966,0.2706875205039978,11.832200005301274
002167.npy,0.0007121823728084564,0.020679550245404243,31.47408777854409,0.8111607679006457,0.2749738395214081,12.647400013520382,0.0006435646209865808,0.019908566027879715,31.914078196535193,0.8304043107566833,0.2821097671985626,11.825800000224262
001917.npy,0.002668029861524701,0.036053285002708435,25.73809309551514,0.7438118563172817,0.2612135112285614,12.130999995861202,0.002525371266528964,0.03524372726678848,25.976747684835573,0.747567283369761,0.28173092007637024,11.869699999806471
002440.npy,0.001579736708663404,0.02541765198111534,28.014152705350334,0.788507621750623,0.24007359147071838,71.66859999415465,0.0013672406785190105,0.023173676803708076,28.641550290124805,0.8201279775998779,0.20991292595863342,71.18369999807328
001563.npy,0.002732654567807913,0.032308220863342285,25.634152982913868,0.8501592840063237,0.1203298419713974,13.49589999881573,0.0022497144527733326,0.030390802770853043,26.478725806663924,0.8637523554851562,0.13042406737804413,13.16410000436008
001576.npy,0.002322808839380741,0.031372033059597015,26.339865661903687,0.7653305235677189,0.20992997288703918,13.471199999912642,0.0021175588481128216,0.0302287545055151,26.74164530413084,0.7777638584206789,0.21726389229297638,13.250799995148554
000260.npy,0.002924556378275156,0.03734634816646576,25.33939988217872,0.7350839747926258,0.1822255253791809,13.441200004308484,0.0027801389805972576,0.03636714443564415,25.55933517792549,0.7448389363343716,0.2053731083869934,13.135600005625747
002442.npy,0.0011358980555087328,0.024911846965551376,29.44660665861224,0.8677367404295803,0.1248258650302887,21.43209999485407,0.0010636800434440374,0.02420315332710743,29.731890163352443,0.875112860119924,0.12885716557502747,21.859100001165643
001729.npy,0.011327599175274372,0.0811561793088913,19.458621258328815,0.5961502694176604,0.3547331690788269,25.19999998912681,0.010707344859838486,0.0789145678281784,19.703181961990182,0.6230340510216039,0.3499296009540558,24.91320000262931
002787.npy,0.0024331980384886265,0.038618773221969604,26.138225099859707,0.7585466653396115,0.2294515073299408,29.505700003937818,0.002233285689726472,0.036990031599998474,26.510557251713376,0.7787366771353937,0.21281644701957703,29.422199993859977
000655.npy,0.002059423830360174,0.028484221547842026,26.86254253532792,0.775075303360343,0.22381943464279175,29.156699994928204,0.0019243676215410233,0.027586527168750763,27.15711954420662,0.7807489529956579,0.2420767843723297,28.82069999759551
002570.npy,0.0020911809988319874,0.036182552576065063,26.796083812099397,0.4893777516472589,0.6695982217788696,74.19499999377877,0.0019517990294843912,0.03507246822118759,27.095649019292832,0.4929615589150218,0.6607515811920166,74.13039999664761
